,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
645,Roma,2018,135,7.7,96,"158,163",*****,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']"
646,Deadpool 2,2018,119,7.7,66,"576,795",$324.59M,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",David Leitch,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin', 'Julian Dennison']"
647,Sound of Metal,2019,120,7.7,82,"126,886",*****,A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff']"
648,Wind River,2017,107,7.7,73,"251,058",$33.80M,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Taylor Sheridan,"['Elizabeth Olsen', 'Jeremy Renner', 'Graham Greene', 'Kelsey Asbille']"
649,Forushande,2016,124,7.7,85,"60,784",$2.40M,"While Ranaa and Emad, a married couple, are participating in a production of ""Death of a Salesman,"" she is assaulted in their new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Asghar Farhadi,"['Shahab Hosseini', 'Taraneh Alidoosti', 'Mina Sadati', 'Babak Karimi']"
650,Get Out,I 2017,104,7.7,85,"600,526",$176.04M,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']"
651,Mission: Impossible - Fallout,2018,147,7.7,86,"331,674",$220.16M,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']"
652,Perfetti sconosciuti,2016,96,7.7,^^^^^^,"65,608",*****,"Seven long-time friends meet for dinner. They decide to share their text messages, emails and phone calls. Secrets are unveiled. Harmony trembles.",Paolo Genovese,"['Giuseppe Battiston', 'Anna Foglietta', 'Marco Giallini', 'Edoardo Leo']"
653,Udta Punjab,2016,148,7.7,^^^^^^,"30,796",*****,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,Abhishek Chaubey,"['Shahid Kapoor', 'Alia Bhatt', 'Kareena Kapoor', 'Diljit Dosanjh']"
654,Kubo and the Two Strings,2016,101,7.7,84,"129,463",$48.02M,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']"
655,En man som heter Ove,2015,116,7.7,70,"55,732",$3.36M,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",Hannes Holm,"['Rolf Lassgård', 'Bahar Pars', 'Filip Berg', 'Ida Engvoll']"
656,The Breadwinner,2017,94,7.7,78,"25,674",$0.31M,"In 2001, Afghanistan is under the control of the Taliban. When her father is captured, a determined young girl disguises herself as a boy in order to provide for her family.",Nora Twomey,"['Saara Chaudry', 'Soma Chhaya', 'Noorin Gulamgaus', 'Laara Sadiq']"
657,Omoide no Marnie,2014,103,7.7,72,"40,956",$0.77M,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",Hiromasa Yonebayashi,"['Sara Takatsuki', 'Kasumi Arimura', 'Nanako Matsushima', 'Susumu Terajima']"
658,The Theory of Everything,2014,123,7.7,71,"449,798",$35.89M,A look at the relationship between the famous physicist Stephen Hawking and his wife.,James Marsh,"['Eddie Redmayne', 'Felicity Jones', 'Tom Prior', 'Sophie Perry']"
659,Kingsman: The Secret Service,2014,129,7.7,60,"664,776",$128.26M,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']"
